,dms_id,model,cluster_label,mcc,accuracy,f1,n
0,A0A192B1T2_9HIV1_Haddox_2018,VenusREM,inverse_folding_mixed,0.4440610047408097,0.7206806074580584,0.7043675839434487,12577
1,A4_HUMAN_Seuma_2022,ProtGPT2,newer_plm,0.41224926246783705,0.7056917156167714,0.7148930603702008,14811
2,ACE2_HUMAN_Chan_2020,MIF,inverse_folding_mixed,0.2874492485219745,0.6437246963562753,0.6435643564356436,2223
3,ADRB2_HUMAN_Jones_2020,SaProt_650M_AF2,inverse_folding_mixed,0.45692307692307693,0.7284615384615385,0.7284615384615385,7800
4,AMIE_PSEAE_Wrenbeck_2017,ESM2_3B,autoregressive_plm,0.5570901316933712,0.7785450457684279,0.7785450457684279,6227
