,dms_id,best_single_model,best_single_mcc,all_model_ensemble_mcc,family_diverse_ensemble_mcc
0,A4_HUMAN_Seuma_2022,ProtGPT2,0.41224926246783705,0.375162253947603,0.38707143852183845
1,ADRB2_HUMAN_Jones_2020,SaProt_650M_AF2,0.45692307692307693,0.45704479144708055,0.4528305758340105
2,ACE2_HUMAN_Chan_2020,MIF,0.2874492485219745,0.1597937778473168,0.16873124588193872
3,AMIE_PSEAE_Wrenbeck_2017,ESM2_3B,0.5570901316933712,0.5584485713213956,0.5529431823031958
4,A0A192B1T2_9HIV1_Haddox_2018,VenusREM,0.4440610047408097,0.4308109366676518,0.44262147182781497
5,ALL,ESCOTT,0.4082406606979928,0.42208529070021866,0.42686202996188777
