,cluster,mcc_mean,mcc_median,ci_lower_95,ci_upper_95
3,newer_plm,0.41504802322510354,0.41504304222522204,0.4060209563952774,0.4239389265964484
2,msa_based,0.3915147282488925,0.39159265744327854,0.382983241068502,0.3999324140321508
0,autoregressive_plm,0.37267395887397986,0.3727371460034197,0.3633580286101931,0.38132417688490544
1,inverse_folding_mixed,0.34169284211770407,0.3417513425366222,0.33224635490910487,0.3507714695426403
4,structure_aware,0.32378581048258426,0.3239021224590375,0.3150948348197729,0.3323907811702834
