,disagreement_bin,rsa_bin,accuracy,mcc,n
0,low,buried,0.8773800456968773,0.5321939617827696,2626
1,low,exposed,0.8081081081081081,0.5285289140157445,3330
2,mid,buried,0.7324003392705682,0.3900490548811072,2358
3,mid,exposed,0.752449379490529,0.41379244081703237,3062
4,high,buried,0.6149860502192108,0.2155765304816557,2509
5,high,exposed,0.6013919645681747,0.15346919210932006,3161
