,dms_id,n,rsa_spearman_r,rsa_p,contact_density_spearman_r,contact_density_p
0,A0A192B1T2_9HIV1_Haddox_2018,0,,,,
1,A4_HUMAN_Seuma_2022,796,-0.3905228865199782,2.1236180867180497e-30,0.4379425294941995,1.2432000590430556e-38
2,ACE2_HUMAN_Chan_2020,2223,-0.09771195687098592,3.922472447714816e-06,-0.0014130866824195228,0.9469098891321687
3,ADRB2_HUMAN_Jones_2020,7800,0.05121158266492675,6.03587128676833e-06,-0.06685823135442957,3.412232769590942e-09
4,AMIE_PSEAE_Wrenbeck_2017,6227,0.08890872304945768,2.08885246539939e-12,-0.09964531796029319,3.242831717790286e-15
5,ALL,17046,-0.03469763023420713,5.865897822264415e-06,0.023810992379800406,0.00187732003923615
