,model,cluster_label,mcc,accuracy,precision,recall,f1,n
0,Tranception_S,autoregressive_plm,0.37647825902592985,0.688230441358449,0.6833203465187697,0.6900573967783744,0.6866723474816333,43638
1,VenusREM,inverse_folding_mixed,0.3824366582344866,0.6912094963105551,0.6862996745657056,0.6930660988705796,0.6896662905045946,43638
2,ESCOTT,msa_based,0.4082406606979928,0.7041110958339062,0.6992115878254492,0.7060729494538048,0.7026255181943805,43638
3,PoET,newer_plm,0.3887617281635699,0.6943718777212521,0.6894623458770683,0.6962599518607665,0.6928444761751227,43638
4,S3F,structure_aware,0.3560363663565736,0.6780099912919932,0.6730989595269744,0.679735234215886,0.6764008198797816,43638
