,dms_id,secondary_structure,mean,median,std,count
0,ALL,coil,0.5602810286205696,0.5759084426264397,0.32377175483505377,6663
1,ALL,helix,0.5445642436489218,0.5472469468797916,0.3339111345229684,8487
2,ALL,sheet,0.5272768151882474,0.5171354889010811,0.30903362977038024,1896
3,A4_HUMAN_Seuma_2022,coil,0.4899226752320223,0.45208619838597464,0.33870665047286214,151
4,A4_HUMAN_Seuma_2022,helix,0.8001164954783535,0.8314743877211902,0.17679697746338982,285
5,A4_HUMAN_Seuma_2022,sheet,0.49120501050246435,0.45208619838597464,0.3097871519668301,360
6,ACE2_HUMAN_Chan_2020,coil,0.6570660422231939,0.7003691484690507,0.27859897085309854,779
7,ACE2_HUMAN_Chan_2020,helix,0.6120262238634785,0.65408003850566,0.2921352024804375,1387
8,ACE2_HUMAN_Chan_2020,sheet,0.5725247102576837,0.6292492235674956,0.2502398039792919,57
9,ADRB2_HUMAN_Jones_2020,coil,0.4305146739416462,0.3795243775741416,0.3116298159822606,2497
10,ADRB2_HUMAN_Jones_2020,helix,0.4536085574995007,0.3795243775741416,0.3341137530541933,4791
11,ADRB2_HUMAN_Jones_2020,sheet,0.4741086180145779,0.4168441960546262,0.27374849558764025,512
12,AMIE_PSEAE_Wrenbeck_2017,coil,0.6403969660119473,0.7219280945988233,0.30831505941587467,3236
13,AMIE_PSEAE_Wrenbeck_2017,helix,0.677650475868733,0.7807536247975477,0.3014804080595664,2024
14,AMIE_PSEAE_Wrenbeck_2017,sheet,0.5661897796358616,0.5759084426264398,0.32371174726412544,967
