,cluster_a,cluster_b,n_disagree,a_win_pct,b_win_pct
0,autoregressive_plm,inverse_folding_mixed,10937,53.2595775806894,46.7404224193106
1,autoregressive_plm,msa_based,7330,47.18963165075034,52.81036834924966
2,autoregressive_plm,newer_plm,5824,44.2135989010989,55.7864010989011
3,autoregressive_plm,structure_aware,11461,54.646191431812234,45.353808568187766
4,inverse_folding_mixed,msa_based,10786,44.8729834971259,55.1270165028741
5,inverse_folding_mixed,newer_plm,6567,40.41419217298614,59.58580782701386
6,inverse_folding_mixed,structure_aware,7156,51.28563443264394,48.71436556735606
7,msa_based,newer_plm,6461,48.104008667388946,51.895991332611054
8,msa_based,structure_aware,10937,56.75230867696809,43.24769132303191
9,newer_plm,structure_aware,8322,60.10574381158376,39.89425618841624
